,Baseline,Baseline,Baseline,JS_Strategy,JS_Strategy,JS_Strategy,JB_Strategy,JB_Strategy,JB_Strategy,JE_Strategy,JE_Strategy,JE_Strategy
,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds,Equities,HighYieldBonds,InvGradeBonds
Dates,,,,,,,,,,,,
1983-09-07,0.00022005647868214668,0.0,0.0,0.00016468068946948406,0.0,0.0,0.00020373238767742194,0.0,0.0,0.00018430753148958613,0.0,0.0
1983-09-08,-0.0005970472237547716,0.0,0.0,-0.0004468041524730353,0.0,0.0,-0.0005527574429082427,0.0,0.0,-0.000500054807074763,0.0,0.0
1983-09-09,-0.0026740256537482634,0.0,0.0,-0.0020011243974980436,0.0,0.0,-0.0024756627680828725,0.0,0.0,-0.0022396208025033436,0.0,0.0
1983-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-12,-0.004553182566204653,0.0,0.0,-0.003407403630074766,0.0,0.0,-0.004215421246851682,0.0,0.0,-0.00381350208012159,0.0,0.0
1983-09-13,-0.0021688241911014174,0.0,0.0,-0.0016230536145430666,0.0,0.0,-0.0020079378419204587,0.0,0.0,-0.0018164910903358514,0.0,0.0
1983-09-14,0.001793460301259456,0.0,0.0,0.0013421476191762655,0.0,0.0,0.001660418959570952,0.0,0.0,0.0015021063816400939,0.0,0.0
1983-09-15,-0.003127926650237308,0.0,0.0,-0.0023408041447172566,0.0,0.0,-0.0028958927669344202,0.0,0.0,-0.0026197839892659345,0.0,0.0
1983-09-16,0.005972070368576257,0.0,0.0,0.004469237496424614,0.0,0.0,0.005529054008562275,0.0,0.0,0.0050018865797823615,0.0,0.0
1983-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-19,0.004381315262288941,0.0,0.0,0.0032787856212999258,0.0,0.0,0.004056303294950773,0.0,0.0,0.003669555222850328,0.0,0.0
1983-09-20,0.0051324262358472955,0.0,0.0,0.003840884377648518,0.0,0.0,0.0047516958276777425,0.0,0.0,0.004298645582926655,0.0,0.0
1983-09-21,-0.0026194587088410296,0.0,0.0,-0.001960288871257772,0.0,0.0,-0.002425143673890373,0.0,0.0,-0.002193918449284708,0.0,0.0
1983-09-22,0.0042308423301997715,0.0,0.0,0.0031661782290916193,0.0,0.0,0.003916992651069984,0.0,0.0,0.0035435271466244364,0.0,0.0
1983-09-23,-0.000777258697277362,0.0,0.0,-0.0005816665745554968,0.0,0.0,-0.0007196005824854032,0.0,0.0,-0.0006509902943185851,0.0,0.0
1983-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
