Date,Open,High,Low,Close,Adj Close,Volume
2007-12-04,142.800003,143.669998,142.800003,143.669998,44.742775,633
2007-12-05,143.699997,143.699997,143.699997,143.699997,44.752075,2000
2007-12-06,143.220001,143.339996,143.220001,143.339996,44.639988,1033
2007-12-07,143.399994,143.429993,143.399994,143.429993,44.668030,4267
2007-12-10,143.759995,144.119995,143.759995,144.119995,44.882912,2567
2007-12-11,144.690002,144.690002,144.000000,144.000000,44.845558,2133
2007-12-12,144.270004,144.389999,143.639999,143.639999,44.733410,3500
2007-12-13,144.059998,144.059998,143.669998,143.669998,44.742775,1967
2007-12-14,144.149994,144.149994,143.669998,143.669998,44.742775,1000
2007-12-17,144.210007,144.210007,143.639999,143.789993,44.780109,300
2007-12-18,144.360001,144.360001,144.179993,144.179993,44.901592,67
2007-12-19,143.580002,144.089996,143.580002,144.089996,44.873592,333
2007-12-20,144.419998,144.419998,143.880005,144.029999,44.854908,600
2007-12-21,144.330002,144.330002,143.789993,143.789993,44.780109,500
2007-12-24,143.880005,143.880005,143.610001,143.610001,44.724087,1467
2007-12-26,143.699997,143.699997,143.369995,143.550003,44.705391,733
2007-12-27,143.550003,143.550003,143.550003,143.550003,44.705391,0
2007-12-28,143.759995,143.759995,143.039993,143.669998,45.074329,2400
2007-12-31,143.940002,143.940002,143.399994,143.610001,45.055489,1267
2008-01-02,143.940002,143.970001,143.910004,143.910004,45.149658,767
2008-01-03,144.059998,144.059998,142.649994,142.649994,44.754333,1433
2008-01-04,143.190002,143.190002,140.490005,141.300003,44.330807,6700
2008-01-07,142.410004,142.410004,141.240005,142.110001,44.584915,1133
2008-01-08,142.800003,142.800003,141.000000,142.470001,44.697845,1433
2008-01-09,141.690002,142.589996,141.089996,141.089996,44.264908,1400
2008-01-10,141.300003,141.300003,138.000000,140.309998,44.020191,12700
2008-01-11,140.550003,140.729996,138.779999,139.740005,43.841389,1667
2008-01-14,140.580002,140.580002,139.679993,139.800003,43.860180,567
2008-01-15,139.440002,139.440002,139.139999,139.139999,43.653122,467
2008-01-16,140.369995,140.369995,139.889999,139.889999,43.888428,1767
2008-01-17,138.869995,138.869995,136.800003,137.699997,43.201351,1133
2008-01-18,138.539993,138.539993,137.789993,137.789993,43.229595,600
2008-01-22,138.000000,138.000000,136.470001,137.970001,43.286057,2600
2008-01-23,137.910004,138.029999,136.559998,137.940002,43.276661,1400
2008-01-24,137.970001,138.449997,137.639999,137.639999,43.182476,1533
2008-01-25,138.929993,138.929993,132.929993,136.110001,42.702511,8533
