Date,Baseline Returns,JS_Strategy,JB_Strategy,JE_Strategy
1983-08-02,-9.256973586765e-05,-7.405578869412e-05,-9.256973586765e-05,-8.331276228088501e-05
1983-08-03,0.00441330782050495,0.00353064625640396,0.00441330782050495,0.003971977038454455
1983-08-04,-0.006454968184043,-0.0051639745472344,-0.006454968184043,-0.0058094713656387
1983-08-05,0.00127068741089685,0.00101654992871748,0.00127068741089685,0.001143618669807165
1983-08-06,0.0,0.0,0.0,0.0
1983-08-07,0.0,0.0,0.0,0.0
1983-08-08,-0.00791393594658095,-0.0063311487572647596,-0.00791393594658095,-0.0071225423519228545
1983-08-09,0.0029840432215102,0.00238723457720816,0.0029840432215102,0.00268563889935918
1983-08-10,0.00440267282832695,0.00352213826266156,0.00440267282832695,0.003962405545494255
1983-08-11,3.09520861706547e-05,2.4761668936523763e-05,3.09520861706547e-05,2.7856877553589233e-05
1983-08-12,0.001887960383782,0.0015103683070256,0.001887960383782,0.0016991643454038001
1983-08-13,0.0,0.0,0.0,0.0
1983-08-14,0.0,0.0,0.0,0.0
1983-08-15,0.00477923038973855,0.0038233843117908405,0.00477923038973855,0.004301307350764695
1983-08-16,-0.0009162543522082,-0.0007330034817665601,-0.0009162543522082,-0.00082462891698738
1983-08-17,0.0057524019337861,0.004601921547028881,0.0057524019337861,0.00517716174040749
1983-08-18,-0.0052634763143565,-0.0042107810514852,-0.0052634763143565,-0.004737128682920849
1983-08-19,0.001314582696423,0.0010516661571383999,0.001314582696423,0.0011831244267807
1983-08-20,0.0,0.0,0.0,0.0
1983-08-21,0.0,0.0,0.0,0.0
1983-08-22,0.0010976948408343,0.00087815587266744,0.0010976948408343,0.00098792535675087
1983-08-23,-0.0047766824875258,-0.0038213459900206404,-0.0047766824875258,-0.00429901423877322
1983-08-24,-0.00466916507956015,-0.0037353320636481207,-0.00466916507956015,-0.004202248571604135
1983-08-25,-0.0012713178294573,-0.00101705426356584,-0.0012713178294573,-0.0011441860465115701
1983-08-26,0.00404128326286985,0.0032330266102958798,0.00404128326286985,0.0036371549365828647
1983-08-27,0.0,0.0,0.0,0.0
1983-08-28,0.0,0.0,0.0,0.0
1983-08-29,0.0003392130257802,0.00027137042062416,0.0003392130257802,0.00030529172320218
1983-08-30,0.00101694915254235,0.00081355932203388,0.00101694915254235,0.0009152542372881149
1983-08-31,0.009194762468301915,0.009491107845318696,0.009878914651311542,0.009686014168598505
1983-09-01,-0.0005457679853155353,-0.0004084290026377915,-0.0005052821686147026,-0.00045710606087105335
1983-09-02,0.002474566792092854,0.001851858067986082,0.002291000037988146,0.0020725647328725524
1983-09-03,0.0,0.0,0.0,0.0
1983-09-04,0.0,0.0,0.0,0.0
1983-09-05,0.0,0.0,0.0,0.0
1983-09-06,0.009244317365816658,0.006918044706497078,0.008558561241480422,0.007742545569226233
1983-09-07,0.00022005647868214668,0.00016468068946948406,0.00020373238767742194,0.00018430753148958613
1983-09-08,-0.0005970472237547716,-0.0004468041524730353,-0.0005527574429082427,-0.000500054807074763
1983-09-09,-0.0026740256537482634,-0.0020011243974980436,-0.0024756627680828725,-0.0022396208025033436
1983-09-10,0.0,0.0,0.0,0.0
1983-09-11,0.0,0.0,0.0,0.0
1983-09-12,-0.004553182566204653,-0.003407403630074766,-0.004215421246851682,-0.00381350208012159
1983-09-13,-0.0021688241911014174,-0.0016230536145430666,-0.0020079378419204587,-0.0018164910903358514
1983-09-14,0.001793460301259456,0.0013421476191762655,0.001660418959570952,0.0015021063816400939
1983-09-15,-0.003127926650237308,-0.0023408041447172566,-0.0028958927669344202,-0.0026197839892659345
1983-09-16,0.005972070368576257,0.004469237496424614,0.005529054008562275,0.0050018865797823615
1983-09-17,0.0,0.0,0.0,0.0
1983-09-18,0.0,0.0,0.0,0.0
1983-09-19,0.004381315262288941,0.0032787856212999258,0.004056303294950773,0.003669555222850328
1983-09-20,0.0051324262358472955,0.003840884377648518,0.0047516958276777425,0.004298645582926655
1983-09-21,-0.0026194587088410296,-0.001960288871257772,-0.002425143673890373,-0.002193918449284708
1983-09-22,0.0042308423301997715,0.0031661782290916193,0.003916992651069984,0.0035435271466244364
1983-09-23,-0.000777258697277362,-0.0005816665745554968,-0.0007196005824854032,-0.0006509902943185851
1983-09-24,0.0,0.0,0.0,0.0
1983-09-25,0.0,0.0,0.0,0.0
1983-09-26,0.0017436272647488086,0.0013048547439104342,0.0016142826059660446,0.0014603688967866066
1983-09-27,-0.005089523038223746,-0.0038087774921461972,-0.00471197524801934,-0.0042627121603146
1983-09-28,-0.0013161057604682905,-0.000984916260346675,-0.001218475232458438,-0.0011022997611513398
1983-09-29,-0.002450306539630956,-0.0018337027511053652,-0.0022685394442836606,-0.0020522456435580995
1983-09-30,0.011912259136899908,0.015984174304756512,0.012258173522283426,0.014111537977010041
1983-10-01,0.0,0.0,0.0,0.0
1983-10-02,0.0,0.0,0.0,0.0
1983-10-03,-0.0008580913552464466,-0.0006421582170907175,-0.0007944369631681141,-0.0007186914033395242
1983-10-04,0.0014961470478023254,0.0011196513224939174,0.001385160810491618,0.0012530927095501612
1983-10-05,0.004666211140463416,0.003491989294855723,0.004320065206654265,0.003908168765847804
1983-10-06,0.007992046943662984,0.005980900034558636,0.0073991859545037885,0.006693710871666878
1983-10-07,0.001611761027810714,0.0012061717923937988,0.0014921983871040336,0.0013499247927891683
1983-10-08,0.0,0.0,0.0,0.0
1983-10-09,0.0,0.0,0.0,0.0
1983-10-10,0.005716692211525517,0.00427812360043563,0.005292620152998504,0.00478799550052735
